ID	DOCULECT	GLOTTOCODE	COGID	PARAMETER	VALUE	SEGMENTS	ALIGNMENT	SOURCE
190	Spanish	stan1288	94	arcariu-arquero	arquero	ɑ ɾ k e ɾ o	ɑ ɾ k e - ɾ - o	Hartman2003
191	Latin	lati1261	95	arciōne-arzón	arciōne	ɑ ɾ k i oː n e	ɑ ɾ k i oː n e	Hartman2003
192	Spanish	stan1288	95	arciōne-arzón	arzón	ɑ ɾ θ o n	ɑ ɾ θ - o n -	Hartman2003
193	Latin	lati1261	96	arcu-arco	arcu	ɑ ɾ k u	ɑ ɾ k u	Hartman2003
194	Spanish	stan1288	96	arcu-arco	arco	ɑ ɾ k o	ɑ ɾ k o	Hartman2003
195	Latin	lati1261	97	ardēre-arder	ardēre	ɑ ɾ d eː ɾ e	ɑ ɾ d eː ɾ e	Hartman2003
196	Spanish	stan1288	97	ardēre-arder	arder	ɑ ɾ ð e ɾ	ɑ ɾ ð e ɾ -	Hartman2003
197	Latin	lati1261	98	ardōre-ardor	ardōre	ɑ ɾ d oː ɾ e	ɑ ɾ d oː ɾ e	Hartman2003
198	Spanish	stan1288	98	ardōre-ardor	ardor	ɑ ɾ ð o ɾ	ɑ ɾ ð o ɾ -	Hartman2003
199	Latin	lati1261	99	ardūra-ardura	ardūra	ɑ ɾ d uː ɾ ɑ	ɑ ɾ d uː ɾ ɑ	Hartman2003
200	Spanish	stan1288	99	ardūra-ardura	ardura	ɑ ɾ ð u ɾ ɑ	ɑ ɾ ð u ɾ ɑ	Hartman2003
201	Latin	lati1261	100	arēna-arena	arēna	ɑ ɾ eː n ɑ	ɑ ɾ eː n ɑ	Hartman2003
202	Spanish	stan1288	100	arēna-arena	arena	ɑ ɾ e n ɑ	ɑ ɾ e n ɑ	Hartman2003
203	Latin	lati1261	101	area-era	area	ɑ ɾ eɑ	ɑ - ɾ - eɑ	Hartman2003
204	Spanish	stan1288	101	area-era	era	e ɾ ɑ	e - ɾ - ɑ	Hartman2003
205	Latin	lati1261	102	areola-iruela	areola	ɑ ɾ eo l ɑ	ɑ - ɾ - eo - l ɑ	Hartman2003
206	Spanish	stan1288	102	areola-iruela	iruela	i ɾ w e l ɑ	i - ɾ w e - l ɑ	Hartman2003
207	Latin	lati1261	103	arma-arma	arma	ɑ ɾ m ɑ	ɑ ɾ m ɑ	Hartman2003
208	Spanish	stan1288	103	arma-arma	arma	ɑ ɾ m ɑ	ɑ ɾ m ɑ	Hartman2003
209	Latin	lati1261	104	armāre-armar	armāre	ɑ ɾ m ɑː ɾ e	ɑ ɾ m ɑː ɾ e	Hartman2003
210	Spanish	stan1288	104	armāre-armar	armar	ɑ ɾ m ɑ ɾ	ɑ ɾ m ɑ ɾ -	Hartman2003
