grapheme	normalized	name	datasets	airstream	airstream2	articulation	articulation2	aspiration	aspiration2	breathiness	breathiness2	centrality	centrality2	contour	creakiness	creakiness2	duration	duration2	ejection	ejection2	end	friction	friction2	glottalization	glottalization2	height	height2	labialization	labialization2	laminality	laminality2	manner	manner2	middle	nasalization	nasalization2	palatalization	palatalization2	pharyngealization	pharyngealization2	phonation	phonation2	place	place2	preceding	preceding2	raising	raising2	relative_articulation	relative_articulation2	release	release2	rhotacization	rhotacization2	roundedness	roundedness2	rounding	rounding2	sound_type	start	stress	stress2	syllabicity	syllabicity2	tone	tone2	tongue_root	tongue_root2	velarization	velarization2	voicing	voicing2
p̩ʸː	p̩ʲː	syllabic palatalized long voiceless bilabial stop consonant	gld														long															stop					palatalized				voiceless		bilabial																consonant				syllabic									
p̩ː	p̩ː	syllabic long voiceless bilabial stop consonant	gld;nidaba														long															stop									voiceless		bilabial																consonant				syllabic									
p̪	p̪	voiceless labio-dental stop consonant	bipa;phoible;wiki																													stop									voiceless		labio-dental																consonant													
p̪f	pf	voiceless labio-dental affricate consonant	wiki																													affricate									voiceless		labio-dental																consonant													
p̬	p̬	revoiced voiceless bilabial stop consonant	bipa																													stop									voiceless		bilabial																consonant												revoiced	
p̰	p̰	creaky voiceless bilabial stop consonant	bdproto;lapsyd;phoible												creaky																	stop									voiceless		bilabial																consonant													
p̻	p̻	voiceless laminal bilabial stop consonant	phoible																											laminal		stop									voiceless		bilabial																consonant													
p̼	t̼	voiceless linguolabial stop consonant	jipa;phoible																													stop									voiceless		linguolabial																consonant													
p͈	p͈	strong voiceless bilabial stop consonant	aus;phoible			strong																										stop									voiceless		bilabial																consonant													
p͈ː	p͈ː	strong long voiceless bilabial stop consonant	phoible			strong											long															stop									voiceless		bilabial																consonant													
p͉	p̚	unreleased voiceless bilabial stop consonant	aus;phoible																													stop									voiceless		bilabial								unreleased								consonant													
p͉ʲ	p̚ʲ	palatalized unreleased voiceless bilabial stop consonant	phoible																													stop					palatalized				voiceless		bilabial								unreleased								consonant													
p͔	p̪	voiceless labio-dental stop consonant	upa																													stop									voiceless		labio-dental																consonant													
p͡f	pf	voiceless labio-dental affricate consonant	nidaba;panphon																													affricate									voiceless		labio-dental																consonant													
p͡fʰ	pfʰ	aspirated voiceless labio-dental affricate consonant	nidaba;panphon					aspirated																								affricate									voiceless		labio-dental																consonant													
p͡fʰʲ	pfʲʰ	palatalized aspirated voiceless labio-dental affricate consonant	panphon					aspirated																								affricate					palatalized				voiceless		labio-dental																consonant													
p͡fʰʷ	pfʷʰ	labialized aspirated voiceless labio-dental affricate consonant	panphon					aspirated																				labialized				affricate									voiceless		labio-dental																consonant													
p͡fʰː	pfʰː	aspirated long voiceless labio-dental affricate consonant	nidaba;panphon					aspirated									long															affricate									voiceless		labio-dental																consonant													
p͡fʰˠ	pfˠʰ	velarized aspirated voiceless labio-dental affricate consonant	panphon					aspirated																								affricate									voiceless		labio-dental																consonant										velarized			
p͡fʰˤ	pfˤʰ	pharyngealized aspirated voiceless labio-dental affricate consonant	panphon					aspirated																								affricate							pharyngealized		voiceless		labio-dental																consonant													
p͡fʲ	pfʲ	palatalized voiceless labio-dental affricate consonant	nidaba;panphon																													affricate					palatalized				voiceless		labio-dental																consonant													
p͡fʲʰ	pfʲʰ	palatalized aspirated voiceless labio-dental affricate consonant	panphon					aspirated																								affricate					palatalized				voiceless		labio-dental																consonant													
p͡fʲʷ	pfʲʷ	palatalized labialized voiceless labio-dental affricate consonant	panphon																									labialized				affricate					palatalized				voiceless		labio-dental																consonant													
p͡fʲʷʰ	pfʲʷʰ	palatalized labialized aspirated voiceless labio-dental affricate consonant	panphon					aspirated																				labialized				affricate					palatalized				voiceless		labio-dental																consonant													
p͡fʲʼ	pfʼʲ	palatalized voiceless labio-dental ejective affricate consonant	panphon																ejective													affricate					palatalized				voiceless		labio-dental																consonant													
p͡fʲː	pfʲː	palatalized long voiceless labio-dental affricate consonant	nidaba;panphon														long															affricate					palatalized				voiceless		labio-dental																consonant													
p͡fʷ	pfʷ	labialized voiceless labio-dental affricate consonant	nidaba;panphon																									labialized				affricate									voiceless		labio-dental																consonant													
p͡fʷʰ	pfʷʰ	labialized aspirated voiceless labio-dental affricate consonant	panphon					aspirated																				labialized				affricate									voiceless		labio-dental																consonant													
p͡fʷʰː	pfʷʰː	labialized aspirated long voiceless labio-dental affricate consonant	panphon					aspirated									long											labialized				affricate									voiceless		labio-dental																consonant													
